Type; A; B; C; D; E; nu; 3; 4; 5; 6; 7A; 7B; 8A; 8B; 9; 10; 11; 12
234; 0; 5; 5; 2; 3; q; 0; 524880; 0; 58320; 0; 0; 0; 0; 0; 0; 0; 0
235; 2; 3; 5; 2; 3; q; 0; 145800; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
236; 1; 5; 4; 2; 3; q; 58320; 0; 29160; 0; 0; 0; 0; 0; 0; 0; 0; 0
237; 3; 3; 4; 2; 3; q; 29160; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
238; 0; 4; 7; 1; 3; q; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
239; 0; 6; 5; 1; 3; q; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
240; 0; 0; 4; 9; 2; q; 0; 1283040; 0; 3168720; 0; 0; 1166400; 3615840; 0; 1049760; 0; 116640
241; 1; 0; 3; 9; 2; q; 602640; 0; 1487160; 0; 0; 933120; 0; 0; 456840; 0; 0; 0
242; 1; 0; 3; 9; 2; l; 97200; 0; 0; 0; 0; 233280; 0; 0; 0; 0; 0; 0
243; 0; 1; 4; 8; 2; q; 2464020; 0; 7202520; 0; 4126140; 10847520; 0; 0; 3557520; 0; 262440; 0
244; 0; 1; 4; 8; 2; l; 233280; 0; 262440; 0; 320760; 933120; 0; 0; 204120; 0; 29160; 0
245; 1; 1; 3; 8; 2; q; 0; 4082400; 0; 2332800; 0; 0; 0; 1516320; 0; 0; 0; 0
246; 2; 1; 2; 8; 2; q; 233280; 0; 291600; 0; 0; 174960; 0; 0; 0; 0; 0; 0
247; 2; 1; 2; 8; 2; l; 0; 0; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0
248; 0; 0; 6; 7; 2; q; 0; 1807920; 0; 3868560; 0; 0; 1866240; 3790800; 0; 408240; 0; 0
249; 1; 0; 5; 7; 2; q; 699840; 0; 2216160; 0; 0; 991440; 0; 0; 291600; 0; 0; 0
250; 0; 2; 4; 7; 2; q; 0; 7406640; 0; 7523280; 0; 0; 1458000; 3090960; 0; 116640; 0; 0
251; 2; 0; 4; 7; 2; q; 0; 116640; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
252; 1; 2; 3; 7; 2; q; 1312200; 0; 2216160; 0; 0; 787320; 0; 0; 87480; 0; 0; 0
253; 1; 2; 3; 7; 2; l; 0; 0; 174960; 0; 0; 0; 0; 0; 0; 0; 0; 0
254; 2; 2; 2; 7; 2; q; 0; 524880; 0; 0; 0; 0; 0; 58320; 0; 0; 0; 0
255; 0; 1; 6; 6; 2; q; 4830840; 0; 8922960; 0; 6765120; 11401560; 0; 0; 2303640; 0; 116640; 0
256; 1; 1; 5; 6; 2; q; 0; 6648480; 0; 1749600; 0; 0; 0; 1166400; 0; 0; 0; 0
257; 0; 3; 4; 6; 2; q; 3105540; 0; 3645000; 0; 1370520; 2478600; 0; 0; 262440; 0; 0; 0
258; 0; 3; 4; 6; 2; l; 34020; 0; 583200; 0; 102060; 0; 0; 0; 0; 0; 0; 0
259; 2; 1; 4; 6; 2; q; 481140; 0; 437400; 0; 0; 174960; 0; 0; 0; 0; 0; 0
260; 1; 3; 3; 6; 2; q; 0; 1224720; 0; 77760; 0; 0; 0; 0; 0; 0; 0; 0
261; 2; 3; 2; 6; 2; q; 58320; 0; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0
262; 2; 3; 2; 6; 2; l; 14580; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
263; 0; 0; 8; 5; 2; q; 0; 874800; 0; 1283040; 0; 0; 641520; 699840; 0; 0; 0; 0
264; 1; 0; 7; 5; 2; q; 379080; 0; 699840; 0; 0; 233280; 0; 0; 0; 0; 0; 0
265; 1; 0; 7; 5; 2; l; 0; 0; 116640; 0; 0; 0; 0; 0; 0; 0; 0; 0
266; 0; 2; 6; 5; 2; q; 0; 9097920; 0; 6531840; 0; 0; 816480; 1924560; 0; 0; 0; 0
267; 1; 2; 5; 5; 2; q; 2216160; 0; 2857680; 0; 0; 524880; 0; 0; 0; 0; 0; 0
268; 0; 4; 4; 5; 2; q; 0; 2624400; 0; 583200; 0; 0; 0; 58320; 0; 0; 0; 0
269; 2; 2; 4; 5; 2; q; 0; 641520; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
270; 1; 4; 3; 5; 2; q; 233280; 0; 116640; 0; 0; 0; 0; 0; 0; 0; 0; 0
271; 1; 4; 3; 5; 2; l; 29160; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
272; 0; 1; 8; 4; 2; q; 1662120; 0; 2449440; 0; 1137240; 1516320; 0; 0; 233280; 0; 0; 0
273; 0; 1; 8; 4; 2; l; 29160; 0; 291600; 0; 87480; 0; 0; 0; 0; 0; 0; 0
274; 1; 1; 7; 4; 2; q; 0; 2187000; 0; 233280; 0; 0; 0; 58320; 0; 0; 0; 0
275; 0; 3; 6; 4; 2; q; 3888000; 0; 3863700; 0; 1166400; 1370520; 0; 0; 29160; 0; 0; 0
276; 2; 1; 6; 4; 2; q; 116640; 0; 116640; 0; 0; 0; 0; 0; 0; 0; 0; 0
277; 2; 1; 6; 4; 2; l; 14580; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
278; 1; 3; 5; 4; 2; q; 0; 2099520; 0; 116640; 0; 0; 0; 0; 0; 0; 0; 0
279; 0; 5; 4; 4; 2; q; 575910; 0; 466560; 0; 123930; 0; 0; 0; 0; 0; 0; 0
280; 0; 5; 4; 4; 2; l; 87480; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
281; 2; 3; 4; 4; 2; q; 204120; 0; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0
282; 2; 5; 2; 4; 2; q; 29160; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
283; 0; 2; 8; 3; 2; q; 0; 2099520; 0; 1049760; 0; 0; 116640; 0; 0; 0; 0; 0
284; 1; 2; 7; 3; 2; q; 874800; 0; 758160; 0; 0; 116640; 0; 0; 0; 0; 0; 0
285; 1; 2; 7; 3; 2; l; 87480; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
286; 0; 4; 6; 3; 2; q; 0; 1108080; 0; 194400; 0; 0; 0; 0; 0; 0; 0; 0
287; 2; 2; 6; 3; 2; q; 0; 349920; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
288; 1; 4; 5; 3; 2; q; 291600; 0; 116640; 0; 0; 0; 0; 0; 0; 0; 0; 0
289; 0; 3; 8; 2; 2; q; 349920; 0; 262440; 0; 29160; 0; 0; 0; 0; 0; 0; 0
290; 0; 3; 8; 2; 2; l; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
291; 1; 3; 7; 2; 2; q; 0; 174960; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
292; 0; 5; 6; 2; 2; q; 379080; 0; 145800; 0; 29160; 0; 0; 0; 0; 0; 0; 0
293; 2; 3; 6; 2; 2; q; 72900; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
294; 0; 7; 4; 2; 2; q; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
295; 2; 5; 4; 2; 2; q; 29160; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
296; 0; 0; 5; 9; 1; q; 116640; 0; 145800; 0; 291600; 991440; 0; 0; 145800; 0; 58320; 0
297; 0; 0; 5; 9; 1; l; 0; 0; 116640; 0; 0; 0; 0; 0; 116640; 0; 0; 0
298; 1; 0; 4; 9; 1; q; 0; 699840; 0; 291600; 0; 0; 0; 291600; 0; 0; 0; 0
299; 2; 0; 3; 9; 1; q; 38880; 0; 116640; 0; 0; 0; 0; 0; 0; 0; 0; 0
300; 0; 1; 5; 8; 1; q; 0; 2216160; 0; 2857680; 0; 0; 1283040; 2274480; 0; 0; 0; 0
301; 1; 1; 4; 8; 1; q; 933120; 0; 1691280; 0; 0; 758160; 0; 0; 116640; 0; 0; 0
302; 1; 1; 4; 8; 1; l; 0; 0; 233280; 0; 0; 0; 0; 0; 0; 0; 0; 0
303; 2; 1; 3; 8; 1; q; 0; 583200; 0; 0; 0; 0; 0; 58320; 0; 0; 0; 0
304; 0; 0; 7; 7; 1; q; 77760; 0; 466560; 0; 291600; 349920; 0; 0; 174960; 0; 0; 0
305; 1; 0; 6; 7; 1; q; 0; 466560; 0; 272160; 0; 0; 0; 116640; 0; 0; 0; 0
306; 0; 2; 5; 7; 1; q; 2653560; 0; 4694760; 0; 1895400; 2303640; 0; 0; 291600; 0; 0; 0
307; 0; 2; 5; 7; 1; l; 58320; 0; 466560; 0; 174960; 0; 0; 0; 0; 0; 0; 0
308; 1; 2; 4; 7; 1; q; 0; 2566080; 0; 291600; 0; 0; 0; 291600; 0; 0; 0; 0
309; 2; 2; 3; 7; 1; q; 116640; 0; 233280; 0; 0; 0; 0; 0; 0; 0; 0; 0
310; 3; 2; 2; 7; 1; q; 0; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
311; 0; 1; 7; 6; 1; q; 0; 2449440; 0; 2916000; 0; 0; 699840; 583200; 0; 0; 0; 0
312; 1; 1; 6; 6; 1; q; 1224720; 0; 1341360; 0; 0; 291600; 0; 0; 0; 0; 0; 0
313; 0; 3; 5; 6; 1; q; 0; 4607280; 0; 1691280; 0; 0; 233280; 233280; 0; 0; 0; 0
314; 2; 1; 5; 6; 1; q; 0; 466560; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
315; 1; 3; 4; 6; 1; q; 933120; 0; 991440; 0; 0; 116640; 0; 0; 0; 0; 0; 0
316; 1; 3; 4; 6; 1; l; 87480; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
317; 2; 3; 3; 6; 1; q; 0; 233280; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
318; 0; 0; 9; 5; 1; q; 58320; 0; 29160; 0; 174960; 58320; 0; 0; 29160; 0; 0; 0
319; 0; 0; 9; 5; 1; l; 9720; 0; 0; 0; 29160; 0; 0; 0; 0; 0; 0; 0
320; 0; 2; 7; 5; 1; q; 3265920; 0; 3732480; 0; 1399680; 933120; 0; 0; 0; 0; 0; 0
321; 1; 2; 6; 5; 1; q; 0; 2332800; 0; 233280; 0; 0; 0; 0; 0; 0; 0; 0
322; 0; 4; 5; 5; 1; q; 1574640; 0; 1341360; 0; 58320; 116640; 0; 0; 0; 0; 0; 0
323; 0; 4; 5; 5; 1; l; 174960; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
324; 2; 2; 5; 5; 1; q; 291600; 0; 116640; 0; 0; 0; 0; 0; 0; 0; 0; 0
325; 1; 4; 4; 5; 1; q; 0; 583200; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
326; 2; 4; 3; 5; 1; q; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
327; 0; 1; 9; 4; 1; q; 0; 991440; 0; 622080; 0; 0; 58320; 58320; 0; 0; 0; 0
328; 1; 1; 8; 4; 1; q; 349920; 0; 291600; 0; 0; 0; 0; 0; 0; 0; 0; 0
329; 1; 1; 8; 4; 1; l; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
330; 0; 3; 7; 4; 1; q; 0; 2507760; 0; 408240; 0; 0; 0; 0; 0; 0; 0; 0
331; 1; 3; 6; 4; 1; q; 874800; 0; 262440; 0; 0; 0; 0; 0; 0; 0; 0; 0
332; 0; 5; 5; 4; 1; q; 0; 349920; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
333; 1; 5; 4; 4; 1; q; 145800; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
334; 3; 3; 4; 4; 1; q; 29160; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
335; 0; 2; 9; 3; 1; q; 913680; 0; 787320; 0; 204120; 58320; 0; 0; 0; 0; 0; 0
336; 0; 2; 9; 3; 1; l; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
337; 1; 2; 8; 3; 1; q; 0; 233280; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
338; 0; 4; 7; 3; 1; q; 816480; 0; 408240; 0; 58320; 0; 0; 0; 0; 0; 0; 0
339; 2; 2; 7; 3; 1; q; 116640; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
340; 0; 6; 5; 3; 1; q; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
341; 0; 3; 9; 2; 1; q; 0; 87480; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
342; 1; 3; 8; 2; 1; q; 116640; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
343; 1; 5; 6; 2; 1; q; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
344; 0; 0; 0; 15; 0; q; 0; 311040; 0; 155520; 0; 0; 136080; 641520; 0; 186624; 0; 103680
345; 0; 1; 0; 14; 0; q; 534600; 0; 1603800; 0; 831060; 2741040; 0; 0; 1759320; 0; 554040; 0
346; 0; 2; 0; 13; 0; q; 0; 3207600; 0; 4432320; 0; 0; 1399680; 3965760; 0; 349920; 0; 0
347; 0; 3; 0; 12; 0; q; 2227500; 0; 3936600; 0; 1383480; 4169880; 0; 0; 926640; 0; 29160; 0
348; 0; 4; 0; 11; 0; q; 0; 3790800; 0; 2099520; 0; 0; 136080; 874800; 0; 0; 0; 0
349; 0; 5; 0; 10; 0; q; 1526040; 0; 1648512; 0; 330480; 592920; 0; 0; 9720; 0; 0; 0
350; 0; 0; 6; 9; 0; q; 0; 58320; 0; 77760; 0; 0; 58320; 58320; 0; 0; 0; 0
351; 1; 0; 5; 9; 0; q; 12960; 0; 0; 0; 0; 0; 0; 0; 3240; 0; 0; 0
352; 1; 0; 5; 9; 0; l; 0; 0; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0
353; 2; 0; 4; 9; 0; q; 0; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
354; 3; 0; 3; 9; 0; l; 3960; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
355; 0; 6; 0; 9; 0; q; 0; 939600; 0; 142560; 0; 0; 0; 0; 0; 0; 0; 0
356; 0; 1; 6; 8; 0; q; 165240; 0; 174960; 0; 311040; 262440; 0; 0; 58320; 0; 4860; 0
357; 0; 1; 6; 8; 0; l; 14580; 0; 0; 0; 43740; 0; 0; 0; 0; 0; 0; 0
358; 1; 1; 5; 8; 0; q; 0; 466560; 0; 97200; 0; 0; 0; 0; 0; 0; 0; 0
359; 2; 1; 4; 8; 0; q; 38880; 0; 9720; 0; 0; 0; 0; 0; 0; 0; 0; 0
360; 2; 1; 4; 8; 0; l; 19440; 0; 0; 0; 0; 4860; 0; 0; 0; 0; 0; 0
361; 0; 7; 0; 8; 0; q; 340200; 0; 126360; 0; 19440; 0; 0; 0; 0; 0; 0; 0
362; 0; 0; 8; 7; 0; q; 0; 58320; 0; 97200; 0; 0; 58320; 58320; 0; 0; 0; 0
363; 1; 0; 7; 7; 0; q; 58320; 0; 58320; 0; 0; 0; 0; 0; 0; 0; 0; 0
364; 0; 2; 6; 7; 0; q; 0; 816480; 0; 777600; 0; 0; 174960; 97200; 0; 0; 0; 0
365; 1; 2; 5; 7; 0; q; 505440; 0; 476280; 0; 0; 136080; 0; 0; 9720; 0; 0; 0
366; 1; 2; 5; 7; 0; l; 77760; 0; 0; 0; 0; 38880; 0; 0; 0; 0; 0; 0
367; 2; 2; 4; 7; 0; q; 0; 174960; 0; 0; 0; 0; 0; 19440; 0; 0; 0; 0
368; 3; 2; 3; 7; 0; q; 38880; 0; 9720; 0; 0; 0; 0; 0; 0; 0; 0; 0
369; 0; 8; 0; 7; 0; q; 0; 19440; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
370; 0; 1; 8; 6; 0; q; 304560; 0; 281880; 0; 213840; 106920; 0; 0; 58320; 0; 0; 0
371; 1; 1; 7; 6; 0; q; 0; 213840; 0; 90720; 0; 0; 0; 58320; 0; 0; 0; 0
372; 0; 3; 6; 6; 0; q; 1373760; 0; 952560; 0; 340200; 291600; 0; 0; 42120; 0; 0; 0
373; 0; 3; 6; 6; 0; l; 81000; 0; 9720; 0; 24300; 58320; 0; 0; 3240; 0; 1620; 0
374; 2; 1; 6; 6; 0; q; 77760; 0; 77760; 0; 0; 9720; 0; 0; 0; 0; 0; 0
375; 1; 3; 5; 6; 0; q; 0; 349920; 0; 162000; 0; 0; 0; 58320; 0; 0; 0; 0
376; 2; 3; 4; 6; 0; q; 84240; 0; 58320; 0; 0; 24300; 0; 0; 0; 0; 0; 0
377; 2; 3; 4; 6; 0; l; 0; 0; 19440; 0; 0; 0; 0; 0; 0; 0; 0; 0
378; 3; 3; 3; 6; 0; q; 0; 19440; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
379; 4; 3; 2; 6; 0; l; 1620; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
380; 0; 9; 0; 6; 0; q; 55080; 0; 9720; 0; 1620; 0; 0; 0; 0; 0; 0; 0
381; 0; 0; 10; 5; 0; q; 0; 0; 0; 6480; 0; 0; 0; 19440; 0; 0; 0; 0
382; 1; 0; 9; 5; 0; q; 0; 0; 29160; 0; 0; 0; 0; 0; 9720; 0; 0; 0
383; 1; 0; 9; 5; 0; l; 12960; 0; 0; 0; 0; 9720; 0; 0; 0; 0; 0; 0
384; 0; 2; 8; 5; 0; q; 0; 855360; 0; 233280; 0; 0; 77760; 97200; 0; 0; 0; 0
385; 1; 2; 7; 5; 0; q; 427680; 0; 408240; 0; 0; 97200; 0; 0; 19440; 0; 0; 0
386; 0; 4; 6; 5; 0; q; 0; 349920; 0; 97200; 0; 0; 0; 38880; 0; 0; 0; 0
387; 2; 2; 6; 5; 0; q; 0; 155520; 0; 0; 0; 0; 0; 19440; 0; 0; 0; 0
388; 1; 4; 5; 5; 0; q; 184680; 0; 58320; 0; 0; 19440; 0; 0; 0; 0; 0; 0
389; 1; 4; 5; 5; 0; l; 0; 0; 38880; 0; 0; 0; 0; 0; 0; 0; 0; 0
390; 2; 4; 4; 5; 0; q; 0; 38880; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
391; 0; 1; 10; 4; 0; q; 252720; 0; 87480; 0; 9720; 19440; 0; 0; 0; 0; 0; 0
392; 0; 1; 10; 4; 0; l; 0; 0; 9720; 0; 0; 0; 0; 0; 9720; 0; 0; 0
393; 1; 1; 9; 4; 0; q; 0; 38880; 0; 38880; 0; 0; 0; 19440; 0; 0; 0; 0
394; 0; 3; 8; 4; 0; q; 1577880; 0; 349920; 0; 160380; 77760; 0; 0; 19440; 0; 0; 0
395; 2; 1; 8; 4; 0; q; 9720; 0; 0; 0; 0; 9720; 0; 0; 0; 0; 0; 0
396; 2; 1; 8; 4; 0; l; 0; 0; 9720; 0; 0; 0; 0; 0; 0; 0; 0; 0
397; 1; 3; 7; 4; 0; q; 0; 136080; 0; 38880; 0; 0; 0; 19440; 0; 0; 0; 0
398; 0; 5; 6; 4; 0; q; 750870; 0; 116640; 0; 72900; 68040; 0; 0; 0; 0; 0; 0
399; 0; 5; 6; 4; 0; l; 4860; 0; 38880; 0; 14580; 0; 0; 0; 0; 0; 0; 0
400; 2; 3; 6; 4; 0; q; 110160; 0; 77760; 0; 0; 0; 0; 0; 0; 0; 0; 0
401; 1; 5; 5; 4; 0; q; 0; 155520; 0; 19440; 0; 0; 0; 0; 0; 0; 0; 0
402; 3; 3; 5; 4; 0; q; 0; 38880; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
403; 2; 5; 4; 4; 0; q; 19440; 0; 19440; 0; 0; 0; 0; 0; 0; 0; 0; 0
404; 2; 5; 4; 4; 0; l; 7290; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
405; 4; 5; 2; 4; 0; q; 2430; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
406; 0; 11; 0; 4; 0; q; 4860; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
407; 0; 2; 10; 3; 0; q; 0; 136080; 0; 32400; 0; 0; 19440; 19440; 0; 0; 0; 0
408; 1; 2; 9; 3; 0; q; 51840; 0; 19440; 0; 0; 0; 0; 0; 0; 0; 0; 0
409; 1; 2; 9; 3; 0; l; 0; 0; 38880; 0; 0; 0; 0; 0; 0; 0; 0; 0
410; 0; 4; 8; 3; 0; q; 0; 77760; 0; 123120; 0; 0; 19440; 0; 0; 0; 0; 0
411; 2; 2; 8; 3; 0; q; 0; 77760; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
412; 1; 4; 7; 3; 0; q; 142560; 0; 136080; 0; 0; 19440; 0; 0; 0; 0; 0; 0
413; 3; 2; 7; 3; 0; l; 3240; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
414; 0; 6; 6; 3; 0; q; 0; 97200; 0; 19440; 0; 0; 0; 0; 0; 0; 0; 0
415; 2; 4; 6; 3; 0; q; 0; 97200; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
416; 1; 6; 5; 3; 0; q; 38880; 0; 19440; 0; 0; 0; 0; 0; 0; 0; 0; 0
417; 1; 6; 5; 3; 0; l; 19440; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
418; 3; 4; 5; 3; 0; q; 19440; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
419; 0; 3; 10; 2; 0; q; 383940; 0; 0; 0; 19440; 0; 0; 0; 0; 0; 0; 0
420; 0; 3; 10; 2; 0; l; 3240; 0; 0; 0; 9720; 0; 0; 0; 0; 0; 0; 0
421; 1; 3; 9; 2; 0; q; 0; 38880; 0; 6480; 0; 0; 0; 0; 0; 0; 0; 0
422; 0; 5; 8; 2; 0; q; 332910; 0; 58320; 0; 19440; 0; 0; 0; 0; 0; 0; 0
423; 2; 3; 8; 2; 0; q; 29160; 0; 19440; 0; 0; 0; 0; 0; 0; 0; 0; 0
424; 2; 3; 8; 2; 0; l; 9720; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
425; 1; 5; 7; 2; 0; q; 0; 38880; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
426; 0; 7; 6; 2; 0; q; 43740; 0; 29160; 0; 4860; 0; 0; 0; 0; 0; 0; 0
427; 0; 7; 6; 2; 0; l; 9720; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
428; 2; 5; 6; 2; 0; q; 29160; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
429; 2; 7; 4; 2; 0; q; 9720; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
430; 1; 4; 9; 1; 0; q; 19440; 0; 19440; 0; 0; 0; 0; 0; 0; 0; 0; 0
431; 1; 4; 9; 1; 0; l; 9720; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
432; 0; 6; 8; 1; 0; q; 0; 19440; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
433; 1; 6; 7; 1; 0; q; 19440; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
434; 3; 4; 7; 1; 0; q; 9720; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
435; 0; 5; 10; 0; 0; q; 12960; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
436; 1; 5; 9; 0; 0; q; 0; 0; 0; 1080; 0; 0; 0; 0; 0; 0; 0; 0
437; 0; 7; 8; 0; 0; q; 32400; 0; 0; 0; 810; 0; 0; 0; 0; 0; 0; 0
438; 2; 5; 8; 0; 0; l; 0; 0; 1620; 0; 0; 0; 0; 0; 0; 0; 0; 0
439; 3; 5; 7; 0; 0; q; 0; 3240; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
440; 0; 9; 6; 0; 0; q; 21330; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
441; 0; 9; 6; 0; 0; l; 90; 0; 0; 0; 270; 0; 0; 0; 0; 0; 0; 0
442; 2; 7; 6; 0; 0; q; 2160; 0; 1620; 0; 0; 0; 0; 0; 0; 0; 0; 0
443; 4; 5; 6; 0; 0; l; 540; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
444; 2; 9; 4; 0; 0; l; 810; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
445; 4; 7; 4; 0; 0; q; 810; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
446; 0; 15; 0; 0; 0; q; 360; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
447; 6; 9; 0; 0; 0; l; 10; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
